match_id,match_number,stage,group,date,kickoff_parsed,home_team,away_team,stadium,city,home_score,away_score,match_status
400021443,1,Primera fase,Grupo A,2026-06-11T19:00:00Z,2026-06-11 19:00:00+00:00,México,Sudáfrica,Estadio Ciudad de México,Ciudad de México,,,1
400021441,2,Primera fase,Grupo A,2026-06-12T02:00:00Z,2026-06-12 02:00:00+00:00,República de Corea,,Estadio Guadalajara,Guadalajara,,,1
400021449,3,Primera fase,Grupo B,2026-06-12T19:00:00Z,2026-06-12 19:00:00+00:00,Canadá,,Estadio de Toronto,Toronto,,,1
400021458,4,Primera fase,Grupo D,2026-06-13T01:00:00Z,2026-06-13 01:00:00+00:00,EE. UU.,Paraguay,Estadio Los Angeles,Los Ángeles,,,1
400021447,8,Primera fase,Grupo B,2026-06-13T19:00:00Z,2026-06-13 19:00:00+00:00,Catar,Suiza,Estadio de la Bahía de San Francisco,Área de la Bahía de San Francisco,,,1
400021456,7,Primera fase,Grupo C,2026-06-13T22:00:00Z,2026-06-13 22:00:00+00:00,Brasil,Marruecos,Estadio Nueva York/Nueva Jersey,Nueva York,,,1
400021453,5,Primera fase,Grupo C,2026-06-14T01:00:00Z,2026-06-14 01:00:00+00:00,Haití,Escocia,Estadio Boston,Boston,,,1
400021463,6,Primera fase,Grupo D,2026-06-14T04:00:00Z,2026-06-14 04:00:00+00:00,Australia,,Estadio BC Place Vancouver,Vancouver,,,1
400021464,10,Primera fase,Grupo E,2026-06-14T17:00:00Z,2026-06-14 17:00:00+00:00,Alemania,Curazao,Estadio Houston,Houston,,,1
400021470,11,Primera fase,Grupo F,2026-06-14T20:00:00Z,2026-06-14 20:00:00+00:00,Países Bajos,Japón,Estadio Dallas,Dallas,,,1
400021467,9,Primera fase,Grupo E,2026-06-14T23:00:00Z,2026-06-14 23:00:00+00:00,Costa de Marfil,Ecuador,Estadio Filadelfia,Filadelfia,,,1
400021474,12,Primera fase,Grupo F,2026-06-15T02:00:00Z,2026-06-15 02:00:00+00:00,,Túnez,Estadio Monterrey,Monterrey,,,1
400021482,14,Primera fase,Grupo H,2026-06-15T16:00:00Z,2026-06-15 16:00:00+00:00,España,Islas de Cabo Verde,Estadio Atlanta,Atlanta,,,1
400021478,16,Primera fase,Grupo G,2026-06-15T19:00:00Z,2026-06-15 19:00:00+00:00,Bélgica,Egipto,Estadio de Seattle,Seattle,,,1
400021486,13,Primera fase,Grupo H,2026-06-15T22:00:00Z,2026-06-15 22:00:00+00:00,Arabia Saudí,Uruguay,Estadio Miami,Miami,,,1
400021476,15,Primera fase,Grupo G,2026-06-16T01:00:00Z,2026-06-16 01:00:00+00:00,Irán,Nueva Zelanda,Estadio Los Angeles,Los Ángeles,,,1
400021490,17,Primera fase,Grupo I,2026-06-16T19:00:00Z,2026-06-16 19:00:00+00:00,Francia,Senegal,Estadio Nueva York/Nueva Jersey,Nueva York,,,1
400021488,18,Primera fase,Grupo I,2026-06-16T22:00:00Z,2026-06-16 22:00:00+00:00,,Noruega,Estadio Boston,Boston,,,1
400021496,19,Primera fase,Grupo J,2026-06-17T01:00:00Z,2026-06-17 01:00:00+00:00,Argentina,Argelia,Estadio Kansas City,Kansas City,,,1
400021498,20,Primera fase,Grupo J,2026-06-17T04:00:00Z,2026-06-17 04:00:00+00:00,Austria,Jordania,Estadio de la Bahía de San Francisco,Área de la Bahía de San Francisco,,,1
400021502,23,Primera fase,Grupo K,2026-06-17T17:00:00Z,2026-06-17 17:00:00+00:00,Portugal,,Estadio Houston,Houston,,,1
400021507,22,Primera fase,Grupo L,2026-06-17T20:00:00Z,2026-06-17 20:00:00+00:00,Inglaterra,Croacia,Estadio Dallas,Dallas,,,1
400021510,21,Primera fase,Grupo L,2026-06-17T23:00:00Z,2026-06-17 23:00:00+00:00,Ghana,Panamá,Estadio de Toronto,Toronto,,,1
400021504,24,Primera fase,Grupo K,2026-06-18T02:00:00Z,2026-06-18 02:00:00+00:00,Uzbekistán,Colombia,Estadio Ciudad de México,Ciudad de México,,,1
